"Start Time","End Time","Tag","Note","Tree Type","Is Success"
"Mon Dec 19 23:31:07 GMT+01:00 2022","Mon Dec 19 23:41:07 GMT+01:00 2022","Unset","","Cedar","True"
"Wed Dec 21 02:27:55 GMT+01:00 2022","Wed Dec 21 03:27:20 GMT+01:00 2022","Unset","","Cedar","False"
"Sun Feb 12 10:59:44 GMT+01:00 2023","Sun Feb 12 11:57:10 GMT+01:00 2023","Study","","Cedar","True"
"Sun Feb 12 13:58:58 GMT+01:00 2023","Sun Feb 12 15:58:58 GMT+01:00 2023","Study","","Cedar","True"
"Sun Feb 12 17:52:56 GMT+01:00 2023","Sun Feb 12 18:57:36 GMT+01:00 2023","Study","","Cedar","True"
"Sun Feb 12 20:53:34 GMT+01:00 2023","Sun Feb 12 22:53:34 GMT+01:00 2023","Study","","Cedar","True"
"Mon Feb 13 09:51:49 GMT+01:00 2023","Mon Feb 13 11:47:30 GMT+01:00 2023","Study","","Cedar","True"
"Mon Feb 13 16:54:20 GMT+01:00 2023","Mon Feb 13 18:35:21 GMT+01:00 2023","Study","","Cedar","True"
"Mon Feb 13 20:52:18 GMT+01:00 2023","Mon Feb 13 21:29:07 GMT+01:00 2023","Study","","Cedar","True"
"Tue Feb 28 19:00:03 GMT+01:00 2023","Tue Feb 28 19:58:13 GMT+01:00 2023","Study","","Cedar","True"
"Wed Mar 01 09:02:29 GMT+01:00 2023","Wed Mar 01 10:17:29 GMT+01:00 2023","Study","","Cedar","True"
"Fri Mar 03 23:33:08 GMT+01:00 2023","Sat Mar 04 00:03:30 GMT+01:00 2023","Study","","Cedar","True"
"Sat Mar 04 21:17:38 GMT+01:00 2023","Sat Mar 04 23:17:38 GMT+01:00 2023","Study","","Cedar","True"
"Sat Mar 04 23:40:07 GMT+01:00 2023","Sun Mar 05 01:40:07 GMT+01:00 2023","Study","","Bush","True"
"Wed Mar 08 12:33:45 GMT+01:00 2023","Wed Mar 08 13:55:12 GMT+01:00 2023","Study","","Bush","True"
"Wed Mar 08 19:18:04 GMT+01:00 2023","Wed Mar 08 21:18:04 GMT+01:00 2023","Study","","Bush","True"
